Riding,PC,NDP,Liberal,Green,Other,Total
Spadina—Fort York,10834,24677,11770,1815,635,49731
Stormont—Dundas—South Glengarry,26780,9416,5386,1596,360,43538
Sudbury,8405,17386,8108,1504,764,36167
Thornhill,28889,9134,6985,1043,1208,47259
Thunder Bay—Atikokan,7555,11793,11712,880,585,32525
Thunder Bay—Superior North,5395,11160,11973,838,669,30035
Timiskaming—Cochrane,6160,16806,2476,723,1296,27461
Timmins,4634,8978,1378,273,370,15633
Toronto Centre,6234,23688,11986,1377,863,44148
Toronto—Danforth,8131,32938,7216,2248,736,51269
Toronto—St. Paul's,13780,18843,17498,1690,591,52402
University—Rosedale,10431,24537,10898,2652,894,49412
Vaughan—Woodbridge,21687,6254,13742,972,291,42946
Waterloo,16973,27315,6577,2613,566,54044
Wellington—Halton Hills,31659,14087,7492,5066,320,58624
Whitby,26471,21158,7441,1958,768,57796
Willowdale,17732,10481,10815,932,686,40646
Windsor—Tecumseh,11677,25221,3513,1909,863,43183
Windsor West,11073,20276,5722,1393,435,38899
York Centre,18434,8617,7865,843,1002,36761
York—Simcoe,26050,10655,6182,2195,409,45491
York South—Weston,12290,13455,10379,946,228,37298
