Riding,PC,NDP,Liberal,Green,Other,Total
Ajax,15336,6291,13561,1305,1194,37687
Algoma—Manitoulin,8692,11252,2133,764,1658,24499
Aurora—Oak Ridges—Richmond Hill,17340,2501,10000,1268,1381,32559
Barrie—Innisfil,18225,6942,6564,2291,2131,36272
Barrie—Springwater—Oro-Medonte,16631,3093,16335,1699,1742,39500
Bay of Quinte,21381,9073,8003,2719,2190,43366
Beaches—East York,7536,13500,14398,4154,751,40648
Brampton Centre,10119,6522,6119,882,821,24463
Brampton East,12869,9017,6131,557,462,29036
Brampton North,13509,5949,8639,895,1033,30025
Brampton South,12980,5475,7957,1028,974,28602
Brampton West,14751,6398,8089,854,744,30836
Brantford—Brant,20738,13283,6083,3174,2886,46953
Bruce—Grey—Owen Sound,20304,5817,8499,3702,3011,41811
Burlington,22348,9262,15452,3515,1943,52520
Cambridge,14590,8745,8155,3537,4374,39401
Carleton,22295,7256,12452,2537,1531,46306
Chatham-Kent—Leamington,17522,11163,0,1244,6941,36870
Davenport,4994,20242,6815,1710,1011,35473
Don Valley East,9038,4355,12313,1139,810,28076
Don Valley North,15041,3133,11685,1179,690,31728
Don Valley West,14208,3392,16177,2025,673,36760
Dufferin—Caledon,22911,4967,8678,6518,2869,46127
Durham,22614,9168,12276,1981,3281,49320
Eglinton—Lawrence,16605,3801,16081,1513,877,39258
Elgin—Middlesex—London,22369,7973,7618,2043,3330,43791
Essex,24926,13793,4186,989,4615,48780
Etobicoke Centre,22035,3906,15443,2036,1647,45351
Etobicoke—Lakeshore,17978,8595,17136,2278,1798,47966
Etobicoke North,13934,3290,5884,690,1173,25103
Flamborough—Glanbrook,20306,9995,8970,2392,2202,43951
Glengarry—Prescott—Russell,18661,3789,17529,1670,2733,44382
Guelph,11149,4402,7263,29752,1619,54638
Haldimand—Norfolk,13851,6311,3329,1841,19827,45427
Haliburton—Kawartha Lakes—Brock,25594,7692,6590,3695,4837,48926
Hamilton Centre,4800,16690,3799,2554,1079,29147
Hamilton East—Stoney Creek,12166,9614,7411,1740,4156,35166
Hamilton Mountain,10211,15250,5300,1913,1360,34034
Hamilton West—Ancaster—Dundas,14852,18197,8184,2416,1368,45017
Hastings—Lennox and Addington,18156,7258,7102,1732,3936,38184
Humber River—Black Creek,6865,7959,7076,430,748,23078
Huron—Bruce,24369,7679,8775,1922,4070,46892
Kanata—Carleton,19871,11045,10672,2503,1478,45569
Kenora—Rainy River,9567,3199,1823,608,764,16059
Kiiwetinoong,1426,2742,281,158,156,4763
King—Vaughan,23439,2840,11658,1104,1709,40897
Kingston and the Islands,11973,15186,18360,1601,1386,48749
Kitchener Centre,10376,15789,5728,4980,2029,38902
Kitchener—Conestoga,15045,10851,6590,2315,2724,37589
Kitchener South—Hespeler,13768,9118,5629,3993,1988,34496
Lambton—Kent—Middlesex,24933,7987,4063,1688,3428,42399
Lanark—Frontenac—Kingston,22142,9146,6962,2982,2629,44185
Leeds—Grenville—Thousand Islands and Rideau Lakes,24657,5799,7746,2583,1480,42744
London—Fanshawe,11224,16123,3553,1200,1611,34260
London North Centre,13051,17082,9013,2064,1568,43085
London West,16886,22510,6077,1713,1798,49882
Markham—Stouffville,21176,4137,15512,1723,1175,43723
Markham—Thornhill,14011,2597,10763,733,376,28699
Markham—Unionville,19985,2579,10774,1299,785,35422
Milton,16766,3777,15086,1612,1579,38927
Mississauga Centre,14719,4148,12260,1188,855,33758
Mississauga East—Cooksville,13840,3664,12634,1345,2224,33828
Mississauga—Erin Mills,15693,4521,13954,1594,1473,37235
Mississauga—Lakeshore,19341,3647,15768,2160,1515,42890
Mississauga—Malton,13028,5140,8838,1173,844,29023
Mississauga—Streetsville,17317,4554,13479,1137,1221,37989
Mushkegowuk—James Bay,2594,3423,852,141,222,7255
Nepean,17123,8435,15029,1696,1334,43617
Newmarket—Aurora,18671,5281,13069,2332,2052,41523
Niagara Centre,15506,16360,5492,1865,1985,41208
Niagara Falls,18342,24207,4239,1356,2065,50344
Niagara West,18779,8658,8013,2702,3305,41796
Nickel Belt,9181,15611,3042,921,1992,30747
Nipissing,15392,8665,4150,1025,1015,30659
Northumberland—Peterborough South,26419,6806,12936,2942,2768,51871
Oakville,21162,3154,17554,2416,1261,46569
Oakville North—Burlington,22221,4673,16631,2027,1543,47095
Orléans,16926,7150,23982,2359,1238,51839
Oshawa,16423,17170,3726,1641,1849,40809
Ottawa Centre,8773,30311,12596,2718,938,55781
Ottawa South,9390,9619,18282,1885,1215,40500
Ottawa—Vanier,7798,10026,16132,3019,987,38673
Ottawa West—Nepean,14610,15696,9384,1475,649,41814
Oxford,22166,9504,5457,2097,5097,44321
Parkdale—High Park,6270,23024,9547,2587,886,42664
Parry Sound—Muskoka,20216,3427,0,18102,2687,44558
Perth—Wellington,19468,9170,6708,2627,3442,41597
Peterborough—Kawartha,20205,11196,15998,1914,3060,52373
Pickering—Uxbridge,19208,6934,12345,2266,2333,43232
Renfrew—Nipissing—Pembroke,24563,6872,3928,1470,3030,40188
Richmond Hill,16088,2805,9825,917,1054,30796
St. Catharines,14851,17128,7175,1764,1716,43136
Sarnia—Lambton,21184,9489,4200,1266,3070,40181
Sault Ste. Marie,12606,10029,1610,675,1964,26884
Scarborough—Agincourt,14040,2512,10672,628,784,28636
Scarborough Centre,11471,8358,9678,892,1004,31869
Scarborough—Guildwood,9123,4824,13405,818,631,28949
Scarborough North,12646,4820,7750,479,382,26177
Scarborough—Rouge Park,15989,7742,9784,850,808,35312
Scarborough Southwest,9750,16842,6556,1251,813,35326
Simcoe—Grey,27067,5849,11687,4742,3186,52886
Simcoe North,23041,8208,8070,4071,2557,46265
Spadina—Fort York,6221,15595,9463,1902,581,33857
Stormont—Dundas—South Glengarry,20766,4982,6458,1477,2431,36114
Sudbury,8519,12013,5727,1480,1167,29410
Thornhill,18395,2698,10247,1155,1643,34522
Thunder Bay—Atikokan,9657,8759,6486,781,777,26598
Thunder Bay—Superior North,7604,8404,6966,738,652,24634
Timiskaming—Cochrane,8024,9735,1600,1485,1530,22779
Timmins,9356,4271,0,323,421,14437
Toronto Centre,4245,15285,12820,1784,385,34921
Toronto—Danforth,5556,22890,9240,2513,747,41324
Toronto—St. Paul's,9445,15292,14200,2302,715,42179
University—Rosedale,6535,13961,10172,5904,469,37181
Vaughan—Woodbridge,19340,1927,12615,694,1106,35958
Waterloo,13176,20615,6251,3110,1537,44922
Wellington—Halton Hills,25049,7724,6920,7002,2548,49493
Whitby,21840,10524,9556,2397,1590,46104
Willowdale,14105,3253,11990,1143,862,31583
Windsor—Tecumseh,17692,11551,5598,1002,2529,38551
Windsor West,11211,13395,4159,879,2108,31752
York Centre,12947,3935,8984,799,1090,28128
York—Simcoe,20789,4083,6319,2691,2331,36628
York South—Weston,11138,10342,7377,770,805,30432
